Area_Marla,Bedrooms,House_Age_years,Distance_to_City_km,Price_PKR
27,4,31,8.4,81250340.0
33,4,27,8.6,80032841.0
25,6,25,12.1,84026327.0
20,2,22,13.8,51105713.0
7,6,39,25.8,20995379.0
20,1,11,8.5,35140484.0
21,5,33,16.5,36123821.0
22,7,20,25.2,48728547.0
21,6,14,3.4,52825891.0
10,4,6,21.6,20789215.0
6,2,7,9.4,12191237.0
37,5,28,29.4,91486911.0
15,7,29,15.8,44606557.0
33,3,7,28.8,87306914.0
23,1,34,23.2,54274113.0
8,6,8,19.6,24485529.0
12,3,24,24.3,29041114.0
37,4,27,29.9,83081419.0
8,1,15,12.3,30417974.0
28,1,22,21.6,56256063.0
17,2,16,7.9,56749955.0
31,1,1,22.7,79291569.0
13,5,3,14.8,42145813.0
14,4,23,15.0,35082226.0
36,1,20,20.9,91112053.0
12,4,14,18.8,50520115.0
23,7,6,18.8,55448761.0
21,7,16,13.2,64230656.0
33,6,12,23.1,92472559.0
6,1,7,11.7,25432973.0
32,2,37,13.1,87787737.0
30,2,13,17.0,78463097.0
20,2,14,6.0,47220559.0
10,7,30,4.6,19134396.0
28,6,22,29.7,63104817.0
33,4,29,6.6,71361470.0
24,2,21,16.9,72643666.0
32,5,7,12.4,82253736.0
9,3,15,28.0,20622922.0
9,2,20,24.2,23437023.0
14,3,16,4.2,32119144.0
36,7,34,3.0,74936413.0
37,7,34,8.7,93521063.0
35,5,12,20.2,94865840.0
26,7,30,20.2,43105398.0
17,2,4,23.7,35269281.0
24,4,14,25.0,71397567.0
29,1,39,21.9,72011811.0
17,7,4,2.5,45956318.0
23,5,33,7.2,58623757.0
4,5,9,11.0,12690108.0
9,5,10,24.6,30428725.0
28,6,14,22.0,54758754.0
35,1,16,27.2,75072847.0
35,5,6,5.9,83818900.0
34,5,34,18.4,67147887.0
18,3,30,15.2,41877507.0
26,3,16,21.4,69751573.0
25,6,26,17.4,52329270.0
33,5,37,25.9,78498385.0
10,7,31,3.5,11307014.0
27,2,5,4.7,81711736.0
39,5,6,6.1,106650581.0
34,3,15,25.7,76224983.0
19,4,4,10.8,42942386.0
26,1,1,9.4,57000713.0
25,4,24,12.1,46138926.0
35,4,17,24.8,86553840.0
6,3,21,6.5,5159195.0
15,3,25,29.1,33404420.0
