Age,Department,MonthlyIncome,YearsAtCompany,DistanceFromHome,JobSatisfaction,OverTime,EducationLevel,WorkLifeBalance,NumCompaniesWorked,Attrition
59,IT,75833.0,2,12.0,4.0,No,Bachelors,1,1,No
52,Marketing,60159.0,11,38.0,2.0,No,Bachelors,2,6,Yes
24,IT,56400.0,14,36.0,4.0,No,High School,2,4,Yes
50,IT,19674.0,8,5.0,2.0,No,High School,3,2,No
57,IT,33193.0,22,13.0,,Yes,High School,2,5,Yes
43,Marketing,68845.0,7,23.0,4.0,No,Masters,4,4,No
59,Marketing,60259.0,10,30.0,2.0,No,Masters,3,6,Yes
35,IT,62986.0,15,37.0,2.0,No,High School,3,3,No
49,R&D,61437.0,24,25.0,4.0,No,Bachelors,4,1,No
56,HR,73216.0,21,,4.0,Yes,High School,4,4,Yes
33,HR,45295.0,3,14.0,2.0,Yes,Masters,4,6,Yes
52,HR,52169.0,0,36.0,4.0,No,Bachelors,3,7,Yes
27,Marketing,31484.0,23,39.0,3.0,No,Masters,3,1,No
42,Marketing,26996.0,6,16.0,4.0,No,Bachelors,3,7,No
48,R&D,20413.0,1,22.0,4.0,Yes,Masters,4,6,Yes
22,HR,34067.0,23,21.0,4.0,No,Bachelors,4,2,Yes
26,HR,77946.0,4,21.0,2.0,Yes,Bachelors,1,0,Yes
48,IT,22051.0,6,8.0,3.0,Yes,Bachelors,2,7,Yes
48,Marketing,44536.0,3,16.0,1.0,No,Bachelors,1,4,Yes
40,HR,26723.0,4,31.0,1.0,No,PhD,4,5,Yes
50,R&D,39182.0,23,10.0,3.0,Yes,Masters,3,4,No
31,R&D,53054.0,0,32.0,3.0,Yes,,4,1,Yes
48,HR,37398.0,0,34.0,3.0,No,PhD,2,2,No
45,Marketing,69614.0,14,9.0,2.0,Yes,Bachelors,1,6,Yes
59,R&D,77612.0,19,17.0,1.0,No,Bachelors,1,3,Yes
53,IT,15000.0,18,11.0,3.0,No,Masters,3,5,No
21,R&D,37706.0,9,32.0,2.0,Yes,PhD,1,2,Yes
47,Sales,51065.0,17,10.0,1.0,Yes,Bachelors,1,7,Yes
33,Sales,70270.0,2,22.0,4.0,No,Bachelors,4,7,No
23,Marketing,,10,17.0,2.0,No,Bachelors,1,4,No
59,HR,49641.0,14,,1.0,No,High School,1,3,Yes
26,Marketing,,10,25.0,2.0,No,PhD,1,2,No
28,Marketing,22410.0,16,21.0,1.0,No,Bachelors,3,0,No
47,Marketing,76017.0,16,37.0,1.0,No,High School,3,5,Yes
29,Marketing,17167.0,5,38.0,,No,PhD,4,1,No
57,IT,91915.0,4,1.0,2.0,No,Bachelors,1,2,No
53,IT,63053.0,7,25.0,,No,Masters,3,2,No
44,R&D,62240.0,1,36.0,4.0,No,High School,3,0,No
35,Sales,60358.0,15,17.0,4.0,No,High School,4,4,No
52,Marketing,45452.0,19,24.0,1.0,No,,2,6,Yes
52,R&D,57058.0,23,2.0,,Yes,Bachelors,1,6,Yes
44,Sales,46600.0,11,15.0,2.0,No,High School,3,5,No
32,HR,59955.0,5,,3.0,Yes,Masters,4,5,Yes
59,IT,49394.0,0,39.0,3.0,Yes,Masters,4,1,Yes
22,Sales,32894.0,3,6.0,3.0,Yes,PhD,4,2,No
23,HR,34330.0,16,1.0,3.0,No,Bachelors,3,3,No
57,Sales,32283.0,12,23.0,3.0,No,Masters,1,2,No
37,IT,67476.0,17,39.0,1.0,Yes,PhD,2,6,Yes
22,IT,38886.0,4,17.0,1.0,No,Masters,1,1,Yes
22,R&D,15582.0,23,34.0,4.0,No,Bachelors,4,2,No
48,Marketing,57143.0,23,29.0,1.0,Yes,PhD,4,0,Yes
43,Sales,77261.0,2,9.0,4.0,No,PhD,2,6,No
57,Sales,63915.0,10,13.0,4.0,No,PhD,1,2,No
52,HR,39140.0,12,6.0,2.0,No,Masters,4,2,No
53,IT,21437.0,3,6.0,3.0,No,Bachelors,4,6,No
21,Sales,47583.0,13,20.0,1.0,No,PhD,1,3,Yes
39,IT,47134.0,21,3.0,2.0,Yes,High School,4,6,No
22,Sales,32554.0,10,17.0,1.0,Yes,Bachelors,1,0,Yes
46,R&D,59919.0,9,12.0,4.0,Yes,High School,4,0,Yes
52,Marketing,83239.0,18,1.0,1.0,No,High School,1,2,Yes
26,Sales,54001.0,17,17.0,3.0,Yes,PhD,2,5,Yes
52,IT,52889.0,5,3.0,4.0,Yes,PhD,4,3,No
24,R&D,33130.0,14,26.0,4.0,No,Masters,2,2,No
31,Sales,75153.0,20,15.0,2.0,No,Masters,4,6,No
37,HR,48647.0,9,36.0,3.0,No,Masters,4,2,Yes
58,Marketing,39579.0,4,32.0,,Yes,Bachelors,3,1,Yes
44,Sales,51146.0,4,32.0,3.0,Yes,Masters,1,1,Yes
25,R&D,58495.0,9,4.0,1.0,No,High School,2,5,Yes
54,HR,52506.0,4,18.0,3.0,Yes,Masters,2,3,No
26,R&D,71711.0,2,19.0,4.0,Yes,PhD,2,4,Yes
42,R&D,56911.0,22,35.0,2.0,No,Masters,1,7,Yes
31,HR,44889.0,5,14.0,4.0,No,Bachelors,3,1,No
36,R&D,57221.0,3,33.0,3.0,No,Bachelors,2,4,No
53,HR,58993.0,17,14.0,3.0,No,High School,1,0,Yes
29,Sales,26665.0,8,34.0,4.0,No,Bachelors,4,1,Yes
26,HR,,16,4.0,3.0,Yes,Masters,2,1,Yes
36,HR,44584.0,12,24.0,1.0,No,PhD,2,3,No
49,Marketing,45044.0,14,29.0,4.0,Yes,Bachelors,3,5,Yes
23,HR,63525.0,19,19.0,2.0,Yes,,2,4,No
40,HR,63449.0,16,6.0,4.0,No,Masters,2,6,Yes
56,Sales,37385.0,12,33.0,1.0,Yes,High School,4,1,Yes
39,Marketing,64452.0,15,19.0,1.0,No,Bachelors,1,1,No
46,IT,39912.0,21,1.0,1.0,Yes,Bachelors,1,3,Yes
23,Sales,82752.0,3,,1.0,No,High School,3,3,Yes
39,Sales,35093.0,4,27.0,1.0,No,Masters,4,5,Yes
40,IT,54311.0,4,16.0,2.0,Yes,Bachelors,1,4,Yes
52,HR,35924.0,8,6.0,3.0,Yes,PhD,4,0,No
27,R&D,90009.0,16,13.0,1.0,No,,1,6,Yes
53,Marketing,27719.0,12,35.0,1.0,No,Masters,4,5,Yes
59,R&D,59439.0,1,,4.0,No,Bachelors,3,7,No
38,IT,,12,12.0,2.0,No,High School,2,0,No
21,Sales,43626.0,21,16.0,2.0,No,Bachelors,3,2,No
31,Sales,58164.0,20,10.0,3.0,No,Bachelors,1,1,No
48,Marketing,72043.0,22,25.0,2.0,No,Masters,3,4,No
45,Sales,,18,20.0,4.0,No,High School,2,5,No
43,Sales,22335.0,2,31.0,4.0,No,Masters,3,1,No
51,Marketing,54820.0,9,4.0,3.0,No,Bachelors,1,4,Yes
50,Marketing,76271.0,1,23.0,4.0,No,PhD,1,4,No
55,IT,19664.0,12,2.0,1.0,No,Bachelors,3,4,Yes
27,Sales,55659.0,18,22.0,1.0,No,Masters,2,1,No
36,Sales,49962.0,16,37.0,4.0,Yes,PhD,3,5,Yes
46,IT,57462.0,20,8.0,3.0,Yes,Masters,2,6,Yes
22,HR,36099.0,13,7.0,2.0,No,Masters,4,3,No
21,HR,24159.0,11,14.0,3.0,No,High School,2,1,No
32,HR,15564.0,20,3.0,2.0,No,PhD,4,7,No
25,IT,67575.0,11,16.0,4.0,Yes,Bachelors,3,4,Yes
57,Sales,69873.0,10,19.0,4.0,No,Masters,2,5,No
52,IT,55448.0,6,,1.0,No,Bachelors,4,6,No
29,IT,40385.0,3,16.0,2.0,Yes,High School,4,2,Yes
55,HR,20785.0,18,8.0,3.0,No,High School,4,7,No
39,R&D,60140.0,0,33.0,4.0,No,PhD,1,0,Yes
36,Sales,,23,12.0,3.0,No,High School,3,7,No
23,HR,37197.0,2,11.0,1.0,No,High School,4,4,No
40,R&D,39442.0,12,5.0,2.0,No,Bachelors,2,2,No
44,R&D,46444.0,14,27.0,2.0,No,High School,4,3,Yes
53,Marketing,36337.0,1,12.0,4.0,No,High School,1,6,Yes
44,Sales,50602.0,10,17.0,2.0,No,Masters,3,6,No
31,R&D,38807.0,3,6.0,,No,High School,1,4,No
28,HR,62625.0,18,33.0,1.0,No,Masters,1,7,Yes
56,Marketing,68559.0,16,5.0,2.0,Yes,High School,1,7,Yes
58,Sales,51954.0,2,28.0,4.0,No,High School,2,6,No
40,IT,58327.0,17,14.0,,Yes,PhD,3,2,No
55,HR,88121.0,7,5.0,4.0,No,PhD,3,4,No
45,R&D,28893.0,21,33.0,2.0,No,Masters,2,1,No
55,R&D,27798.0,24,19.0,1.0,Yes,High School,3,5,Yes
45,HR,62510.0,23,22.0,2.0,No,Bachelors,1,2,No
49,R&D,85038.0,18,5.0,2.0,Yes,,3,5,No
38,Marketing,45311.0,4,2.0,4.0,No,Bachelors,2,1,No
38,Sales,81083.0,6,30.0,3.0,No,PhD,1,1,Yes
22,Marketing,51736.0,20,39.0,2.0,No,PhD,2,5,No
55,R&D,37744.0,7,4.0,3.0,Yes,High School,4,2,Yes
36,IT,32168.0,4,33.0,4.0,Yes,PhD,1,5,No
56,Sales,,16,13.0,3.0,No,Bachelors,1,5,No
53,Sales,33531.0,4,20.0,4.0,No,PhD,3,0,No
24,HR,51463.0,3,7.0,1.0,No,Masters,1,2,Yes
53,HR,78502.0,21,15.0,3.0,No,High School,2,7,No
34,IT,44478.0,18,23.0,3.0,No,High School,3,7,No
41,Sales,73652.0,20,14.0,1.0,No,Masters,4,0,Yes
40,IT,28138.0,1,23.0,3.0,No,Masters,2,4,Yes
28,HR,40390.0,10,19.0,1.0,Yes,Masters,4,6,Yes
27,HR,24671.0,21,29.0,2.0,Yes,PhD,4,7,Yes
23,Sales,51314.0,12,20.0,4.0,No,High School,4,5,Yes
37,Marketing,64041.0,14,29.0,1.0,Yes,Masters,1,4,Yes
53,R&D,51353.0,11,24.0,3.0,No,PhD,2,7,No
32,HR,72087.0,21,18.0,1.0,No,Masters,2,2,No
42,HR,36515.0,20,10.0,3.0,Yes,Bachelors,1,5,Yes
42,Marketing,54056.0,21,8.0,2.0,Yes,Bachelors,3,6,Yes
50,Marketing,40506.0,10,26.0,1.0,No,High School,4,4,Yes
58,IT,56510.0,6,29.0,2.0,No,PhD,2,7,No
58,IT,59067.0,4,10.0,4.0,No,Bachelors,1,7,No
28,R&D,60483.0,16,17.0,3.0,No,Bachelors,4,3,No
47,R&D,30729.0,23,2.0,3.0,No,PhD,3,7,No
47,Sales,33985.0,19,6.0,2.0,No,Masters,3,1,No
54,IT,37323.0,8,5.0,4.0,No,PhD,4,5,No
41,HR,45700.0,13,28.0,,No,Masters,3,6,No
50,IT,51569.0,11,5.0,1.0,No,Bachelors,2,1,Yes
53,HR,62746.0,5,18.0,3.0,Yes,Bachelors,2,0,No
48,Marketing,34734.0,16,26.0,2.0,No,Bachelors,2,4,No
53,IT,21182.0,18,20.0,2.0,No,High School,3,7,No
25,Marketing,88803.0,18,27.0,1.0,Yes,High School,2,0,Yes
39,R&D,29634.0,15,12.0,4.0,Yes,High School,1,6,Yes
24,R&D,65054.0,11,,4.0,No,PhD,2,5,No
55,Sales,50563.0,11,3.0,1.0,No,Bachelors,2,1,No
37,IT,54524.0,19,10.0,1.0,No,Bachelors,3,1,Yes
48,Marketing,49972.0,5,34.0,2.0,Yes,PhD,2,4,Yes
50,HR,43073.0,22,25.0,4.0,Yes,High School,4,5,No
49,R&D,58352.0,3,35.0,1.0,No,PhD,1,7,Yes
26,R&D,42105.0,5,16.0,1.0,No,High School,3,3,No
55,HR,70993.0,10,2.0,3.0,No,,1,3,No
57,Marketing,60232.0,0,24.0,1.0,No,Masters,4,4,Yes
44,Marketing,60793.0,23,10.0,1.0,No,High School,3,5,No
49,IT,40872.0,22,38.0,4.0,No,Bachelors,3,4,No
51,IT,45746.0,14,22.0,2.0,No,Bachelors,2,5,No
55,Sales,28618.0,10,26.0,4.0,No,Masters,1,6,Yes
53,R&D,43646.0,24,39.0,2.0,No,Bachelors,4,6,No
41,IT,31342.0,18,27.0,3.0,No,Bachelors,4,0,No
52,Marketing,73635.0,17,,1.0,No,High School,3,7,No
43,HR,50910.0,16,38.0,3.0,No,High School,2,4,No
53,Marketing,53069.0,18,20.0,2.0,Yes,Masters,3,7,Yes
23,R&D,,20,27.0,4.0,No,Masters,3,5,Yes
38,Marketing,53556.0,13,20.0,4.0,Yes,Bachelors,3,3,Yes
45,Sales,94368.0,17,19.0,3.0,No,High School,3,7,No
51,R&D,44597.0,18,20.0,2.0,No,Masters,4,5,No
23,HR,38293.0,14,35.0,3.0,No,Masters,4,6,Yes
44,Sales,59534.0,14,2.0,3.0,Yes,PhD,3,5,Yes
52,R&D,15000.0,3,30.0,1.0,No,Masters,3,4,Yes
42,HR,51151.0,6,34.0,3.0,No,Bachelors,2,0,Yes
43,Sales,43309.0,12,22.0,1.0,No,High School,3,0,No
22,Sales,32138.0,2,3.0,1.0,No,Masters,4,0,Yes
47,R&D,59140.0,15,6.0,4.0,No,PhD,1,0,No
22,IT,50972.0,8,15.0,1.0,No,High School,4,6,No
46,Sales,17557.0,7,27.0,1.0,Yes,Masters,2,2,Yes
37,Sales,38362.0,19,10.0,4.0,Yes,PhD,4,7,No
53,HR,15000.0,12,9.0,3.0,No,Masters,1,4,No
29,Marketing,55279.0,16,33.0,2.0,No,High School,3,1,No
59,R&D,55099.0,16,32.0,2.0,Yes,High School,1,4,Yes
49,R&D,35721.0,16,6.0,2.0,Yes,High School,3,2,No
46,IT,59722.0,0,36.0,3.0,Yes,Bachelors,3,0,Yes
55,IT,26915.0,7,2.0,1.0,No,Masters,4,2,Yes
45,R&D,32603.0,18,29.0,2.0,No,Bachelors,4,3,Yes
44,IT,57509.0,5,4.0,3.0,No,High School,4,3,No
33,HR,37604.0,2,1.0,1.0,No,PhD,2,7,No
27,R&D,48872.0,4,19.0,4.0,No,Masters,4,6,No
56,IT,39854.0,12,26.0,2.0,Yes,Bachelors,2,4,No
40,R&D,42603.0,14,25.0,1.0,Yes,Masters,4,4,Yes
21,Marketing,43390.0,13,10.0,2.0,Yes,PhD,3,1,Yes
28,Sales,37278.0,22,15.0,2.0,No,Bachelors,2,6,Yes
36,R&D,55444.0,15,22.0,2.0,No,High School,1,1,Yes
34,Sales,38697.0,17,21.0,1.0,Yes,Bachelors,2,3,Yes
32,IT,50282.0,21,22.0,3.0,No,Masters,2,0,No
43,Sales,36883.0,21,36.0,,No,Masters,1,2,Yes
35,R&D,22383.0,10,34.0,2.0,No,Masters,2,1,No
48,Marketing,66424.0,2,30.0,1.0,Yes,Masters,3,5,Yes
54,IT,58991.0,21,25.0,4.0,No,,4,1,No
22,R&D,91196.0,9,28.0,3.0,No,Bachelors,1,0,No
52,IT,31208.0,9,1.0,1.0,Yes,High School,4,0,No
43,HR,46239.0,20,4.0,4.0,No,,3,4,No
42,Sales,47687.0,15,7.0,3.0,Yes,High School,1,2,Yes
45,HR,,11,,4.0,No,Masters,4,0,No
42,R&D,40872.0,1,36.0,3.0,No,Masters,4,6,No
42,Marketing,28921.0,8,19.0,1.0,No,Masters,3,1,Yes
26,IT,71741.0,23,1.0,4.0,No,Bachelors,4,1,No
35,Sales,44300.0,2,10.0,2.0,No,PhD,3,3,No
57,IT,65816.0,23,36.0,4.0,No,Masters,2,0,Yes
53,R&D,63720.0,24,9.0,3.0,No,Bachelors,3,5,No
28,IT,49462.0,14,32.0,1.0,No,Masters,2,4,Yes
25,Sales,46862.0,2,32.0,3.0,No,Masters,1,2,No
59,R&D,42952.0,18,,4.0,No,High School,4,5,No
24,IT,49727.0,17,38.0,4.0,No,High School,3,4,Yes
26,Marketing,65536.0,7,17.0,2.0,No,High School,3,1,No
52,R&D,35664.0,16,10.0,1.0,No,Bachelors,4,5,Yes
50,R&D,51959.0,7,27.0,1.0,No,PhD,4,4,Yes
55,Marketing,29865.0,6,35.0,,No,PhD,1,1,No
36,HR,32106.0,6,21.0,1.0,No,Bachelors,1,1,Yes
33,Sales,49443.0,2,25.0,,No,Masters,3,1,No
50,HR,15000.0,0,28.0,3.0,No,Bachelors,1,1,Yes
39,IT,87090.0,3,15.0,1.0,No,Masters,2,6,Yes
37,Marketing,28525.0,24,4.0,4.0,No,Bachelors,1,1,No
39,HR,49278.0,4,29.0,,No,Bachelors,1,3,No
48,R&D,71028.0,0,9.0,3.0,No,Bachelors,3,5,Yes
46,IT,34468.0,14,27.0,2.0,No,PhD,2,4,Yes
57,IT,15000.0,4,26.0,4.0,No,High School,1,3,Yes
46,HR,41991.0,12,19.0,1.0,No,Bachelors,2,6,Yes
43,HR,34253.0,7,28.0,4.0,Yes,PhD,2,7,Yes
29,Marketing,15000.0,7,17.0,3.0,Yes,High School,2,7,No
32,Sales,,4,20.0,4.0,Yes,High School,4,3,Yes
21,HR,53728.0,8,39.0,1.0,No,Bachelors,4,0,Yes
21,HR,70562.0,0,23.0,1.0,Yes,Masters,4,0,Yes
54,R&D,29825.0,3,32.0,2.0,Yes,Masters,4,0,No
52,IT,21216.0,2,33.0,1.0,No,Masters,3,2,No
45,Sales,42679.0,1,5.0,1.0,No,Bachelors,1,0,Yes
21,R&D,48410.0,7,34.0,4.0,No,Masters,4,4,Yes
36,Marketing,66584.0,22,11.0,4.0,No,PhD,3,3,No
59,Marketing,75390.0,8,3.0,3.0,Yes,PhD,1,4,Yes
25,HR,71861.0,1,33.0,2.0,No,PhD,4,5,No
42,HR,54978.0,13,11.0,4.0,No,PhD,1,0,No
49,Marketing,64391.0,13,16.0,1.0,No,High School,4,6,Yes
23,HR,38471.0,3,18.0,3.0,No,PhD,3,2,No
32,Sales,53031.0,5,30.0,4.0,No,Masters,2,5,Yes
46,HR,28557.0,10,10.0,2.0,No,Bachelors,2,6,Yes
36,IT,51128.0,2,18.0,2.0,No,Masters,1,2,Yes
57,HR,51596.0,7,38.0,3.0,Yes,PhD,3,7,Yes
42,R&D,80998.0,2,19.0,3.0,Yes,High School,2,5,Yes
49,Sales,45878.0,13,36.0,3.0,Yes,PhD,4,7,Yes
34,R&D,51621.0,12,13.0,3.0,Yes,Bachelors,2,3,Yes
48,R&D,54265.0,12,3.0,3.0,No,Masters,1,4,No
25,IT,41813.0,1,10.0,1.0,Yes,Bachelors,1,1,Yes
50,Sales,35555.0,12,38.0,1.0,No,Bachelors,3,4,Yes
25,Sales,73379.0,18,1.0,4.0,Yes,Bachelors,1,0,Yes
32,Sales,32343.0,5,27.0,2.0,Yes,Masters,2,7,Yes
36,Sales,26097.0,15,8.0,,No,PhD,2,6,Yes
46,Sales,62245.0,1,17.0,1.0,Yes,Bachelors,2,1,Yes
46,IT,70841.0,7,9.0,1.0,No,Masters,2,2,Yes
41,HR,41875.0,16,6.0,4.0,No,High School,3,7,No
59,R&D,42151.0,22,25.0,3.0,Yes,Masters,4,3,Yes
56,Sales,55086.0,1,39.0,4.0,Yes,,4,3,Yes
53,HR,37259.0,9,28.0,2.0,No,Masters,3,7,No
50,HR,35929.0,15,33.0,2.0,Yes,PhD,1,7,Yes
57,R&D,65833.0,5,37.0,2.0,Yes,Bachelors,4,7,No
43,IT,60928.0,1,9.0,2.0,Yes,PhD,1,2,Yes
30,Marketing,73601.0,1,18.0,1.0,Yes,,4,0,Yes
25,Marketing,27453.0,12,21.0,1.0,No,Bachelors,1,2,Yes
56,HR,40956.0,23,2.0,4.0,No,High School,3,5,No
